city,day_of_year,month,day_of_month,year,high_temp,low_temp,precipitation
Toronto,1,january,1,2024,-0.7,-3.1,0.01
Toronto,2,january,2,2024,1.5,-1.5,0.0
Toronto,3,january,3,2024,3.1,0.6,0.0
Toronto,4,january,4,2024,1.8,-6.0,0.0
Toronto,5,january,5,2024,0.4,-2.1,0.0
Toronto,6,january,6,2024,2.1,-3.5,0.5
Toronto,7,january,7,2024,0.7,-4.2,0.01
Toronto,8,january,8,2024,3.7,0.6,0.0
Toronto,9,january,9,2024,7.0,0.6,3.12
Toronto,10,january,10,2024,6.7,0.7,0.0
Toronto,11,january,11,2024,2.8,0.6,0.33
Toronto,12,january,12,2024,3.9,-0.1,1.18
Toronto,13,january,13,2024,6.8,-2.9,0.33
Toronto,14,january,14,2024,-2.5,-11.2,0.01
Toronto,15,january,15,2024,-7.1,-12.5,0.0
Toronto,16,january,16,2024,-6.3,-10.9,0.09
Toronto,17,january,17,2024,-7.4,-14.2,0.0
Toronto,18,january,18,2024,-2.8,-7.6,0.0
Toronto,19,january,19,2024,-4.9,-13.8,0.0
Toronto,20,january,20,2024,-7.0,-14.1,0.0
Toronto,21,january,21,2024,-1.4,-10.7,0.0
Toronto,22,january,22,2024,-0.2,-5.8,0.07
Toronto,23,january,23,2024,2.4,-0.3,0.81
Toronto,24,january,24,2024,3.0,0.9,0.72
Toronto,25,january,25,2024,4.1,2.0,0.0
Toronto,26,january,26,2024,6.1,2.1,1.76
Toronto,27,january,27,2024,4.0,1.6,0.0
Toronto,28,january,28,2024,3.7,1.7,0.02
Toronto,29,january,29,2024,3.6,0.1,0.0
Toronto,30,january,30,2024,3.2,0.7,0.0
Toronto,31,january,31,2024,5.6,2.4,0.0
Toronto,32,february,1,2024,5.2,3.0,0.0
Toronto,33,february,2,2024,4.8,-1.4,0.0
Toronto,34,february,3,2024,3.0,-2.7,0.0
Toronto,35,february,4,2024,5.1,-4.0,0.0
Toronto,36,february,5,2024,3.1,-0.5,0.0
Toronto,37,february,6,2024,4.0,-1.2,0.0
Toronto,38,february,7,2024,4.3,0.7,0.0
Toronto,39,february,8,2024,8.6,1.3,0.0
Toronto,40,february,9,2024,15.4,6.5,0.08
Toronto,41,february,10,2024,11.4,3.8,0.0
Toronto,42,february,11,2024,3.9,1.9,0.0
Toronto,43,february,12,2024,3.9,-0.3,0.0
Toronto,44,february,13,2024,4.9,-5.3,0.01
Toronto,45,february,14,2024,0.2,-6.9,0.0
Toronto,46,february,15,2024,1.2,-3.7,0.64
Toronto,47,february,16,2024,0.6,-3.5,0.0
Toronto,48,february,17,2024,-2.4,-6.9,0.01
Toronto,49,february,18,2024,0.9,-5.6,0.01
Toronto,50,february,19,2024,-1.1,-9.0,0.0
Toronto,51,february,20,2024,3.7,-4.5,0.0
Toronto,52,february,21,2024,9.7,0.9,0.0
Toronto,53,february,22,2024,10.7,4.5,0.0
Toronto,54,february,23,2024,11.0,-7.2,0.0
Toronto,55,february,24,2024,-3.8,-11.9,0.0
Toronto,56,february,25,2024,5.9,-4.4,0.0
Toronto,57,february,26,2024,8.9,1.6,0.0
Toronto,58,february,27,2024,13.0,3.4,1.79
Toronto,59,february,28,2024,15.2,-4.6,0.73
Toronto,60,february,29,2024,-1.1,-5.9,0.0
Toronto,61,march,1,2024,8.5,-2.9,0.0
Toronto,62,march,2,2024,7.0,5.3,0.03
Toronto,63,march,3,2024,7.6,5.3,0.0
Toronto,64,march,4,2024,14.2,5.1,0.0
Toronto,65,march,5,2024,16.2,7.8,0.12
Toronto,66,march,6,2024,9.1,4.1,0.01
Toronto,67,march,7,2024,10.2,2.6,0.0
Toronto,68,march,8,2024,8.4,3.8,0.07
Toronto,69,march,9,2024,8.6,4.4,1.38
Toronto,70,march,10,2024,4.7,-1.2,0.01
Toronto,71,march,11,2024,8.4,-0.8,0.0
Toronto,72,march,12,2024,14.0,2.6,0.0
Toronto,73,march,13,2024,21.1,5.9,0.0
Toronto,74,march,14,2024,10.6,6.4,1.71
